name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Estonia,EST,Europe and Northern America,Europe,upper,more,1367196,11036,1.35,106.1,16693,79.153,1.399,5717
Faroe Islands,FRO,Europe and Northern America,Europe,upper,more,54714,690,2.24,106.7,564,80.179,6.109,599
Finland,FIN,Europe and Northern America,Europe,upper,more,5601185,43556,1.28,105.2,59984,81.91,1.931,38156
Guernsey,GGY,Europe and Northern America,Europe,upper,more,64016.99999999999,521,1.362,105.4,595,83.274,5.793,380
Iceland,ISL,Europe and Northern America,Europe,upper,more,387558,4347,1.54,106,2612,82.691,0.955,4630
Ireland,IRL,Europe and Northern America,Europe,upper,more,5196630,53268,1.598,105.6,35550,82.412,2.864,43873
Isle of Man,IMN,Europe and Northern America,Europe,upper,more,84165,702,1.548,105,882,80.999,10.686,196
Jersey,JEY,Europe and Northern America,Europe,upper,more,103674,853,1.371,105.4,1150,79.707,8.607,480
Latvia,LVA,Europe and Northern America,Europe,upper,more,1882396,14250,1.338,106.4,27614,76.19,2.902,7966
Lithuania,LTU,Europe and Northern America,Europe,upper,more,2854099,21434,1.201,105.2,40940,76.025,2.828,44935
Norway,NOR,Europe and Northern America,Europe,upper,more,5519167,51545,1.405,106.2,44143,83.308,1.881,53806
Sweden,SWE,Europe and Northern America,Europe,upper,more,10551494,97915,1.43,105.6,93944,83.262,1.861,55209
United Kingdom,GBR,Europe and Northern America,Europe,upper,more,68682962,688388,1.56,105.5,653747,81.302,3.703,445523
Albania,ALB,Europe and Northern America,Europe,upper-middle,more,2811655,28803,1.348,107,23428,79.602,8.137,-25357
Andorra,AND,Europe and Northern America,Europe,upper,more,80856,555,1.082,106.2,491,84.041,5.276,1061
Bosnia and Herzegovina,BIH,Europe and Northern America,Europe,upper-middle,more,3185073,24569,1.486,106.7,42861,77.85,5.326,-485
Croatia,HRV,Europe and Northern America,Europe,upper,more,3896023,31446,1.468,106,55029,78.58,3.504,10202
Gibraltar,GIB,Europe and Northern America,Europe,upper,more,38471,464,1.888,106.5,250,83.553,8.311,689
Greece,GRC,Europe and Northern America,Europe,upper,more,10242908,73661,1.334,106.4,127018,81.857,3.325,-159430
Holy See,VAT,Europe and Northern America,Europe,upper,more,496,2,1,105,13,82.985,6.024,0
Italy,ITA,Europe and Northern America,Europe,upper,more,59499453,384627,1.198,105.9,663448,83.716,2.244,150189
Kosovo (under UNSC res. 1244),XKX,Europe and Northern America,Europe,upper-middle,more,1700031,20514,1.545,107.1,9981,78.033,8.078,-28754
Malta,MLT,Europe and Northern America,Europe,upper,more,532956,4213,1.098,106.7,3928,83.299,6.233,6591
Montenegro,MNE,Europe and Northern America,Europe,upper-middle,more,633552,6981,1.803,106.9,7209,77.087,1.718,12000
North Macedonia,MKD,Europe and Northern America,Europe,upper-middle,more,1831802,16878,1.465,107.7,19863,77.395,4.716,-5597
Portugal,PRT,Europe and Northern America,Europe,upper,more,10430738,86646,1.508,105.6,115917,82.36,2.582,29102
San Marino,SMR,Europe and Northern America,Europe,upper,more,33733,200,1.149,106.6,270,85.706,1.081,-190
Serbia,SRB,Europe and Northern America,Europe,upper-middle,more,6773201,59840,1.5,106.9,93928,76.769,4.166,4348
Slovenia,SVN,Europe and Northern America,Europe,upper,more,2118396,17902,1.576,106.3,21581,81.603,1.81,5339
Spain,ESP,Europe and Northern America,Europe,upper,more,47911579,336821,1.213,106.4,447463,83.67,2.386,119099
Austria,AUT,Europe and Northern America,Europe,upper,more,9130429,77054,1.317,105.5,93223,81.956,2.753,4819
Belgium,BEL,Europe and Northern America,Europe,upper,more,11712893,101686,1.379,104.9,113791,82.115,3.33,41679
France,FRA,Europe and Northern America,Europe,upper,more,66438822,638891,1.639,104.9,616095,83.325,3.503,91862
Germany,DEU,Europe and Northern America,Europe,upper,more,84548231,719249,1.441,105.6,1034140.0000000001,81.378,2.969,609553
Liechtenstein,LIE,Europe and Northern America,Europe,upper,more,39598,371,1.537,116.3,300,83.63,5.608,214
Luxembourg,LUX,Europe and Northern America,Europe,upper,more,665098,6946,1.396,105.3,4642,82.229,4.445,5905
Monaco,MCO,Europe and Northern America,Europe,upper,more,38956,368,2.11,104.9,817,86.372,3.941,88
Netherlands,NLD,Europe and Northern America,Europe,upper,more,18092524,167842,1.43,105.2,166338,82.158,3.388,144558
Switzerland,CHE,Europe and Northern America,Europe,upper,more,8870561,83702,1.433,105.1,73788,83.954,3.176,45098
