name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Dominica,DMA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,66.51,-0.474,1.484,103.6,71.132,27.739,-0.199
Dominican Republic,DOM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,11331.265,0.86,2.243,104.4,73.72,25.626,-34.915
Grenada,GRD,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,117.081,0.126,1.487,104,75.205,13.111,-0.19
Guadeloupe,GLP,Latin America and the Caribbean,Latin America and the Caribbean,NA,less,376.517,-0.404,2.089,103.4,82.05,7.557,-2.192
Haiti,HTI,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less-least,11637.398,1.165,2.656,103,64.936,43.374,-31.786
Jamaica,JAM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,2839.786,0.003,1.358,103.9,71.479,15.904,-10.003
Martinique,MTQ,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,346.002,-0.824,2.009,102.6,82.565,7.323,-3.078
Montserrat,MSR,Latin America and the Caribbean,Latin America and the Caribbean,NA,less,4.42,-0.701,1.444,104.3,76.186,5.338,-0.012
Puerto Rico,PRI,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3242.023,0.124,0.941,105.2,81.69,5.183,19.833
Saint Barthélemy,BLM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,11.085,1.66,0.801,104,84.29,5.26,0.2
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,46.758,0.192,1.505,103.7,72.145,12.638,0
Saint Lucia,LCA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,179.285,0.266,1.379,103.1,72.697,14.365,0
Saint Martin (French part),MAF,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,27.515,-5.398,2.718,104,80.224,8.347,-1.697
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,101.323,-0.704,1.775,103.3,71.23,13.241,-0.784
