name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Dominica,DMA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,66.51,0.738,1.484,103.6,0.849,71.132,27.739,-0.199
Dominican Republic,DOM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,11331.265,203.183,2.243,104.4,70.823,73.72,25.626,-34.915
Grenada,GRD,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,117.081,1.371,1.487,104,1.037,75.205,13.111,-0.19
Guadeloupe,GLP,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,376.517,4.233,2.089,103.4,3.56,82.05,7.557,-2.192
Haiti,HTI,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less-least,11637.398,258.348,2.656,103,90.966,64.936,43.374,-31.786
Jamaica,JAM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,2839.786,33.007,1.358,103.9,22.933,71.479,15.904,-10.003
Martinique,MTQ,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,346.002,3.728,2.009,102.6,3.502,82.565,7.323,-3.078
Montserrat,MSR,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,4.42,0.039,1.444,104.3,0.06,76.186,5.338,-0.012
Puerto Rico,PRI,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3242.023,18.851,0.941,105.2,34.664,81.69,5.183,19.833
Saint Barthélemy,BLM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,11.085,0.053,0.801,104,0.07,84.29,5.26,0.2
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,46.758,0.549,1.505,103.7,0.466,72.145,12.638,0
Saint Lucia,LCA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,179.285,2.019,1.379,103.1,1.544,72.697,14.365,0
Saint Martin (French part),MAF,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,27.515,0.47,2.718,104,0.255,80.224,8.347,-1.697
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,101.323,1.232,1.775,103.3,1.165,71.23,13.241,-0.784
Sint Maarten (Dutch part),SXM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,42.749,0.39,1.447,103.9,0.347,76.371,12.846,0.567
Trinidad and Tobago,TTO,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,1502.932,16.094,1.532,104.1,12.577,73.49,13.516,2.126
Turks and Caicos Islands,TCA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,46.198,0.496,1.463,104.9,0.342,78.008,4.773,0.193
United States Virgin Islands,VIR,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,85.701,0.959,2.09,103.9,1.321,75.472,4.946,-0.444
Belize,BLZ,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,411.106,7.41,2.007,105.2,2.025,73.566,8.706,0.595
Costa Rica,CRI,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,5105.525,51.969,1.33,104.5,27.861,80.799,6.494,0.995
El Salvador,SLV,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,6309.624,99.428,1.775,104.8,47.443,72.099,9.509,-23.253
Guatemala,GTM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,18124.838,377.167,2.311,103.9,87.523,72.602,17.643,-8.94
Honduras,HND,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,10644.851,233.793,2.5,105.1,47.67,72.884,12.954,-5.044
Mexico,MEX,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,129739.759,2037.689,1.91,103.9,799.366,75.069,10.347,-101.044
Nicaragua,NIC,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,6823.613,132.214,2.218,103.5,31.294,74.947,12.262,-7.996
Panama,PAN,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,4458.759,71.469,2.119,105.4,21.272,79.594,12.561,7.262
Argentina,ARG,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,45538.401,503.823,1.5,105.1,349.195,77.395,8.98,4.133
Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,12244.159,260.151,2.547,104.2,87.812,68.581,31.822,-3.008
Brazil,BRA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,211140.729,2601.67,1.619,104.5,1494.154,75.848,12.052,-240.059
Chile,CHL,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,19658.835,176.196,1.167,104.3,127.691,81.167,4.139,62.679
Colombia,COL,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,52321.152,705.009,1.645,104.5,282.433,77.725,9.835,154.521
Ecuador,ECU,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,17980.083,270.3,1.823,104.7,92.204,77.392,9.649,-21.948
Falkland Islands (Malvinas),FLK,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,3.477,0.039,1.685,103,0.027,79.213,9.169,-0.021
